doc_id,item,category,amount,price,discount
DOC53096Q817,Джинсы,Одежда,1,73.56,10.65
DOC53096Q817,Средство для мытья посуды,Бытовая химия,3,424.5,85.49
DOC17636Z920,Тарелка,Посуда,9,55.39,10.53
DOC27928N773,Полотенце,Текстиль,9,834.29,169.87
DOC27928N773,Нож,Посуда,5,408.97,15.4
DOC27928N773,Мыло,Бытовая химия,10,385.64,24.43
DOC27928N773,Порошок стиральный,Бытовая химия,1,883.3,91.99
DOC64126B981,Шампунь,Бытовая химия,8,445.75,26.74
DOC64126B981,Чашка,Посуда,6,416.17,74.92
DOC84855W330,Тарелка,Посуда,2,664.13,132.57
DOC84855W330,Порошок стиральный,Бытовая химия,10,244.44,65.23
DOC20950M356,Ложка,Посуда,8,286.69,23.7
DOC20950M356,Тарелка,Посуда,7,804.4,206.08
DOC20950M356,Вилка,Посуда,1,78.71,2.96
DOC20950M356,Сковорода,Посуда,4,738.5,206.13
DOC69167Z974,Футболка,Одежда,4,419.58,120.63
DOC69167Z974,Джинсы,Одежда,5,616.02,116.12
DOC69167Z974,Нож,Посуда,10,528.85,103.16
DOC69167Z974,Тарелка,Посуда,2,816.19,234.62
DOC54924V477,Джинсы,Одежда,9,720.98,173.79
DOC54924V477,Куртка,Одежда,10,775.66,62.9
DOC70701O124,Вилка,Посуда,5,629.62,174.26
DOC17817E206,Полотенце,Текстиль,3,284.35,4.6
DOC33215U415,Сковорода,Посуда,6,196.61,35.78
DOC33215U415,Футболка,Одежда,2,565.79,92.11
DOC33215U415,Наволочка,Текстиль,10,243.86,32.06
DOC33215U415,Наволочка,Текстиль,3,515.94,129.67
DOC33215U415,Ложка,Посуда,8,693.52,158.27
DOC64180W645,Ложка,Посуда,10,377.36,80.99
DOC64180W645,Тарелка,Посуда,3,505.59,12.11
DOC64180W645,Простыня,Текстиль,4,128.47,31.81
DOC64180W645,Тарелка,Посуда,5,70.24,1.44
DOC32734T967,Полотенце,Текстиль,6,765.47,86.44
DOC32734T967,Джинсы,Одежда,3,421.53,38.05
DOC32734T967,Средство для мытья посуды,Бытовая химия,10,435.35,130.24
DOC32734T967,Куртка,Одежда,3,675.91,89.69
DOC24576D746,Порошок стиральный,Бытовая химия,6,997.03,185.25
DOC24576D746,Кастрюля,Посуда,4,937.15,267.73
DOC94733C872,Наволочка,Текстиль,5,348.52,50.24
DOC94733C872,Шампунь,Бытовая химия,4,121.34,2.64
DOC94733C872,Средство для мытья посуды,Бытовая химия,4,164.35,42.03
DOC94043Z378,Тарелка,Посуда,1,535.08,53.54
DOC94043Z378,Тарелка,Посуда,5,394.17,96.35
DOC85314F210,Тарелка,Посуда,9,417.78,64.02
DOC68925P434,Кастрюля,Посуда,10,363.51,59.95
DOC32978A557,Ложка,Посуда,8,389.42,114.77
DOC32978A557,Ложка,Посуда,10,872.65,67.47
DOC32978A557,Средство для мытья посуды,Бытовая химия,8,578.43,107.43
DOC86462B659,Средство для мытья посуды,Бытовая химия,2,940.79,179.18
DOC86462B659,Футболка,Одежда,9,105.63,7.71
DOC86462B659,Мыло,Бытовая химия,4,31.69,1.37
DOC86462B659,Простыня,Текстиль,5,145.7,17.49
DOC44891Z444,Джинсы,Одежда,2,814.52,182.77
DOC44891Z444,Нож,Посуда,1,714.72,202.35
DOC44891Z444,Джинсы,Одежда,10,243.54,13.9
DOC44891Z444,Шампунь,Бытовая химия,10,593.96,163.77
DOC44891Z444,Футболка,Одежда,9,251.83,31.49
DOC51604P117,Джинсы,Одежда,6,890.61,66.95
DOC51604P117,Сковорода,Посуда,8,668.28,48.36
DOC51604P117,Ложка,Посуда,2,831.05,203.26
DOC58284D311,Нож,Посуда,5,636.9,72.88
DOC31571T795,Тарелка,Посуда,2,839.64,90.47
DOC87932I501,Кастрюля,Посуда,10,152.16,31.21
DOC87932I501,Джинсы,Одежда,7,899.56,106.34
DOC33861M498,Сковорода,Посуда,3,607.11,128.75
DOC14555Q155,Куртка,Одежда,7,329.93,52.23
DOC14555Q155,Джинсы,Одежда,8,627.7,37.9
