doc_id,item,category,amount,price,discount
DOC86328D998,Полотенце,Текстиль,2,18.49,0.37
DOC86328D998,Полотенце,Текстиль,7,844.76,39.78
DOC86328D998,Шампунь,Бытовая химия,2,672.95,103.21
DOC48816Q104,Мыло,Бытовая химия,1,662.18,66.96
DOC48816Q104,Полотенце,Текстиль,2,148.73,27.76
DOC85332I410,Мыло,Бытовая химия,5,859.34,38.57
DOC85332I410,Вилка,Посуда,8,309.21,68.9
DOC85332I410,Шампунь,Бытовая химия,10,176.25,50.63
DOC45707P635,Джинсы,Одежда,7,135.29,30.4
DOC45707P635,Шампунь,Бытовая химия,7,977.84,182.55
DOC45707P635,Мыло,Бытовая химия,1,510.19,90.79
DOC27410H965,Футболка,Одежда,10,498.26,12.14
DOC27410H965,Куртка,Одежда,5,27.85,5.32
DOC70984X690,Футболка,Одежда,3,90.4,19.78
DOC78152X271,Футболка,Одежда,5,376.83,2.04
DOC78152X271,Простыня,Текстиль,3,706.62,199.5
DOC78152X271,Ложка,Посуда,1,498.5,121.21
DOC78152X271,Джинсы,Одежда,1,21.89,5.26
DOC97436V831,Средство для мытья посуды,Бытовая химия,1,115.34,11.97
DOC38107X400,Мыло,Бытовая химия,9,264.5,5.5
DOC38107X400,Вилка,Посуда,3,581.88,103.65
DOC38107X400,Средство для мытья посуды,Бытовая химия,4,729.93,211.04
DOC38107X400,Джинсы,Одежда,10,829.49,122.04
DOC18033C134,Куртка,Одежда,6,842.74,159.58
DOC12895B636,Сковорода,Посуда,10,563.68,119.94
DOC88349K233,Вилка,Посуда,5,271.89,78.48
DOC63668H847,Мыло,Бытовая химия,9,917.37,61.6
DOC23751L417,Нож,Посуда,2,466.23,100.02
DOC23751L417,Наволочка,Текстиль,9,573.3,104.12
DOC23751L417,Мыло,Бытовая химия,5,605.7,154.21
DOC23751L417,Ложка,Посуда,3,744.68,137.1
DOC23751L417,Футболка,Одежда,2,467.59,111.93
DOC32892S317,Полотенце,Текстиль,2,490.12,9.3
DOC32892S317,Ложка,Посуда,5,183.11,16.22
DOC22476V122,Вилка,Посуда,4,250.0,62.49
DOC69348K101,Чашка,Посуда,5,192.03,39.41
DOC69348K101,Кастрюля,Посуда,3,546.7,138.34
DOC69348K101,Нож,Посуда,4,454.47,78.9
DOC15843T855,Нож,Посуда,4,710.97,33.91
DOC15843T855,Порошок стиральный,Бытовая химия,1,407.98,110.73
DOC15843T855,Джинсы,Одежда,7,11.55,2.84
DOC62678G775,Джинсы,Одежда,8,629.91,116.83
DOC62678G775,Ложка,Посуда,2,567.07,113.54
DOC62678G775,Джинсы,Одежда,2,822.35,157.18
DOC62678G775,Нож,Посуда,2,572.36,27.23
DOC62678G775,Наволочка,Текстиль,7,696.89,203.0
DOC65085Y328,Кастрюля,Посуда,5,374.29,45.62
DOC65085Y328,Шампунь,Бытовая химия,9,960.18,39.8
DOC94808D689,Порошок стиральный,Бытовая химия,10,139.34,37.18
DOC25369P124,Куртка,Одежда,6,362.81,67.44
DOC25369P124,Куртка,Одежда,6,698.08,41.98
DOC25369P124,Простыня,Текстиль,7,748.93,153.98
DOC25369P124,Сковорода,Посуда,7,762.68,50.14
DOC25369P124,Сковорода,Посуда,1,692.13,17.14
DOC90108C723,Полотенце,Текстиль,8,255.97,31.63
DOC90108C723,Ложка,Посуда,2,127.0,6.41
DOC90108C723,Мыло,Бытовая химия,7,983.79,278.8
DOC90108C723,Шампунь,Бытовая химия,5,491.87,112.33
DOC90108C723,Джинсы,Одежда,1,750.54,123.13
DOC68766Q884,Футболка,Одежда,6,72.11,19.23
DOC68766Q884,Вилка,Посуда,2,214.55,50.26
DOC36478S310,Полотенце,Текстиль,6,142.1,29.84
DOC36478S310,Средство для мытья посуды,Бытовая химия,1,612.8,38.86
DOC36478S310,Куртка,Одежда,10,104.58,26.21
DOC36478S310,Нож,Посуда,10,780.72,27.32
DOC36478S310,Наволочка,Текстиль,4,471.48,92.34
DOC89534W668,Сковорода,Посуда,8,167.5,5.36
DOC89534W668,Простыня,Текстиль,3,727.92,184.62
DOC89534W668,Порошок стиральный,Бытовая химия,6,156.21,7.1
DOC89534W668,Ложка,Посуда,6,254.67,60.82
DOC89534W668,Порошок стиральный,Бытовая химия,10,625.77,1.65
DOC65623I572,Чашка,Посуда,6,566.14,161.76
DOC65623I572,Простыня,Текстиль,8,619.07,160.61
DOC65623I572,Тарелка,Посуда,2,934.62,221.29
DOC65623I572,Полотенце,Текстиль,4,902.98,103.48
DOC65623I572,Ложка,Посуда,7,693.14,117.0
DOC34278I978,Чашка,Посуда,2,749.18,113.54
DOC34278I978,Джинсы,Одежда,6,420.92,19.76
DOC34278I978,Вилка,Посуда,7,151.34,38.14
DOC62719V315,Тарелка,Посуда,10,523.62,129.67
DOC62464Q859,Средство для мытья посуды,Бытовая химия,10,318.78,55.5
DOC62464Q859,Чашка,Посуда,9,36.2,3.02
DOC62464Q859,Тарелка,Посуда,2,690.73,171.61
DOC62464Q859,Тарелка,Посуда,2,535.41,146.98
DOC44560F680,Тарелка,Посуда,1,692.64,192.76
DOC44560F680,Куртка,Одежда,5,208.21,61.32
DOC61793Z731,Полотенце,Текстиль,2,375.53,91.02
DOC61793Z731,Полотенце,Текстиль,9,982.26,154.92
DOC61793Z731,Вилка,Посуда,6,227.2,19.8
DOC61793Z731,Шампунь,Бытовая химия,9,482.87,20.12
DOC61793Z731,Средство для мытья посуды,Бытовая химия,7,152.87,1.45
DOC83562D844,Мыло,Бытовая химия,2,298.02,30.44
DOC83562D844,Средство для мытья посуды,Бытовая химия,1,31.89,5.21
DOC83562D844,Полотенце,Текстиль,8,926.27,235.09
DOC54724D931,Наволочка,Текстиль,8,769.89,23.53
DOC54724D931,Шампунь,Бытовая химия,4,963.84,257.99
DOC54724D931,Джинсы,Одежда,8,621.83,106.1
DOC12449P253,Куртка,Одежда,10,411.64,6.71
DOC12449P253,Простыня,Текстиль,1,433.72,90.69
DOC12449P253,Нож,Посуда,7,936.86,21.15
DOC86534Q663,Куртка,Одежда,6,841.88,86.38
DOC86534Q663,Средство для мытья посуды,Бытовая химия,3,546.0,88.15
DOC86534Q663,Средство для мытья посуды,Бытовая химия,1,402.06,91.09
DOC86534Q663,Сковорода,Посуда,3,824.18,121.5
DOC12326G140,Наволочка,Текстиль,1,772.94,175.93
DOC86185G190,Средство для мытья посуды,Бытовая химия,3,217.58,49.78
DOC86185G190,Ложка,Посуда,9,389.99,19.57
DOC19512R257,Нож,Посуда,1,954.94,145.43
DOC19512R257,Кастрюля,Посуда,10,645.52,106.89
DOC19512R257,Наволочка,Текстиль,7,382.96,5.77
DOC19512R257,Кастрюля,Посуда,5,479.72,97.15
