doc_id,item,category,amount,price,discount
DOC18618D574,Шампунь,Бытовая химия,8,568.54,164.67
DOC18618D574,Футболка,Одежда,5,152.72,36.92
DOC35911L790,Вилка,Посуда,4,220.67,30.28
DOC35911L790,Шампунь,Бытовая химия,10,27.66,4.14
DOC14172S216,Ложка,Посуда,1,700.0,70.66
DOC34627N649,Простыня,Текстиль,7,678.09,143.28
DOC34627N649,Кастрюля,Посуда,4,884.78,190.59
DOC34627N649,Кастрюля,Посуда,2,617.57,52.33
DOC34627N649,Шампунь,Бытовая химия,8,646.51,5.39
DOC29605D685,Порошок стиральный,Бытовая химия,2,253.77,59.15
DOC29605D685,Тарелка,Посуда,1,663.44,148.53
DOC41826E791,Тарелка,Посуда,8,472.14,44.56
DOC41826E791,Вилка,Посуда,5,928.12,192.89
DOC41826E791,Чашка,Посуда,5,571.57,156.25
DOC41826E791,Нож,Посуда,8,293.6,70.21
DOC41826E791,Полотенце,Текстиль,5,502.37,112.87
DOC83527L390,Сковорода,Посуда,5,429.73,8.19
DOC83527L390,Тарелка,Посуда,7,597.34,7.6
DOC50012X442,Куртка,Одежда,5,499.28,143.64
DOC50012X442,Чашка,Посуда,9,387.12,85.0
DOC50012X442,Простыня,Текстиль,1,285.28,84.59
DOC93652C291,Нож,Посуда,3,267.43,52.35
DOC93652C291,Шампунь,Бытовая химия,7,659.45,196.14
DOC93652C291,Кастрюля,Посуда,4,449.69,88.8
DOC93652C291,Футболка,Одежда,5,911.06,207.16
DOC83174E464,Сковорода,Посуда,9,927.52,270.38
DOC83174E464,Вилка,Посуда,6,585.53,24.2
DOC83174E464,Чашка,Посуда,9,668.29,70.35
DOC83174E464,Наволочка,Текстиль,10,271.17,77.89
DOC83174E464,Вилка,Посуда,6,63.72,10.82
DOC90951N820,Футболка,Одежда,1,386.82,58.55
DOC90951N820,Джинсы,Одежда,8,532.99,136.85
DOC90951N820,Чашка,Посуда,6,152.91,19.05
DOC90951N820,Простыня,Текстиль,8,166.42,44.0
DOC58189Z718,Наволочка,Текстиль,10,626.84,133.3
DOC58189Z718,Нож,Посуда,6,605.92,151.03
DOC28803O912,Мыло,Бытовая химия,9,87.36,8.7
DOC28803O912,Порошок стиральный,Бытовая химия,4,438.56,48.38
DOC28803O912,Нож,Посуда,7,110.0,2.37
DOC64778O108,Шампунь,Бытовая химия,9,949.54,36.77
DOC64778O108,Сковорода,Посуда,9,211.59,50.6
DOC64778O108,Мыло,Бытовая химия,4,802.83,63.23
DOC72153X113,Футболка,Одежда,8,841.43,71.48
DOC72153X113,Чашка,Посуда,2,915.96,157.65
DOC52982Y630,Джинсы,Одежда,8,448.07,32.6
DOC52982Y630,Шампунь,Бытовая химия,6,163.58,40.42
DOC11071P543,Джинсы,Одежда,4,976.63,125.21
DOC11071P543,Мыло,Бытовая химия,9,193.84,29.18
DOC11071P543,Порошок стиральный,Бытовая химия,1,852.65,20.67
DOC11071P543,Тарелка,Посуда,3,342.88,41.64
