doc_id,item,category,amount,price,discount
DOC64941X600,Вилка,Посуда,8,401.86,58.03
DOC64941X600,Порошок стиральный,Бытовая химия,6,477.49,130.96
DOC64941X600,Порошок стиральный,Бытовая химия,3,200.6,28.95
DOC64941X600,Мыло,Бытовая химия,7,548.1,61.95
DOC46764Y406,Футболка,Одежда,5,641.88,53.68
DOC46764Y406,Кастрюля,Посуда,2,691.79,158.7
DOC46764Y406,Чашка,Посуда,8,441.4,44.15
DOC46764Y406,Мыло,Бытовая химия,9,885.32,264.43
DOC81561F168,Вилка,Посуда,4,284.72,76.33
DOC54396R690,Ложка,Посуда,4,364.49,104.45
DOC54396R690,Простыня,Текстиль,10,942.52,81.47
DOC54396R690,Вилка,Посуда,5,535.18,47.43
DOC54396R690,Чашка,Посуда,6,21.33,6.05
DOC54396R690,Порошок стиральный,Бытовая химия,2,468.12,12.91
DOC40301K926,Чашка,Посуда,3,548.06,115.38
DOC40301K926,Мыло,Бытовая химия,9,157.33,40.38
DOC40301K926,Мыло,Бытовая химия,5,806.39,36.17
DOC36015G156,Сковорода,Посуда,10,881.41,169.38
DOC36015G156,Вилка,Посуда,5,283.77,7.75
DOC36015G156,Полотенце,Текстиль,3,112.21,4.63
DOC35684X777,Средство для мытья посуды,Бытовая химия,1,828.72,188.42
DOC35684X777,Джинсы,Одежда,7,316.92,54.78
DOC35684X777,Средство для мытья посуды,Бытовая химия,8,590.58,137.45
DOC81164O473,Наволочка,Текстиль,5,872.61,73.78
DOC81164O473,Тарелка,Посуда,5,519.7,45.04
DOC81164O473,Простыня,Текстиль,10,132.54,25.28
DOC97184R405,Сковорода,Посуда,4,116.36,1.68
DOC36263X273,Вилка,Посуда,3,269.25,35.71
DOC37020J589,Мыло,Бытовая химия,6,527.34,120.88
DOC37020J589,Куртка,Одежда,1,924.63,103.56
DOC53123J144,Футболка,Одежда,5,527.91,31.86
DOC53123J144,Футболка,Одежда,5,741.8,17.92
DOC91261Q583,Наволочка,Текстиль,2,245.24,16.96
DOC54621C239,Футболка,Одежда,7,243.37,19.1
DOC54621C239,Полотенце,Текстиль,7,611.54,74.2
DOC54621C239,Чашка,Посуда,2,518.18,100.44
DOC74495E849,Чашка,Посуда,6,843.45,36.79
DOC52209S482,Ложка,Посуда,3,298.39,78.16
DOC52209S482,Чашка,Посуда,10,224.24,56.49
DOC52209S482,Сковорода,Посуда,4,920.65,10.27
DOC52209S482,Тарелка,Посуда,2,438.16,126.35
DOC52209S482,Простыня,Текстиль,7,898.66,142.79
