doc_id,item,category,amount,price,discount
DOC74063O578,Вилка,Посуда,8,112.77,17.58
DOC74063O578,Куртка,Одежда,1,944.25,272.52
DOC74063O578,Мыло,Бытовая химия,2,579.3,161.1
DOC74063O578,Простыня,Текстиль,2,569.51,34.64
DOC74063O578,Тарелка,Посуда,5,498.98,148.4
DOC59113G269,Кастрюля,Посуда,7,968.91,37.55
DOC59113G269,Сковорода,Посуда,6,654.62,70.94
DOC59113G269,Ложка,Посуда,10,759.54,152.59
DOC10898B984,Наволочка,Текстиль,6,380.38,55.79
DOC36991Y720,Чашка,Посуда,3,532.24,135.3
DOC36991Y720,Чашка,Посуда,1,765.9,101.3
DOC48354Z846,Сковорода,Посуда,8,551.46,98.83
DOC48354Z846,Куртка,Одежда,6,192.29,54.39
DOC48354Z846,Наволочка,Текстиль,9,427.7,58.28
DOC48354Z846,Порошок стиральный,Бытовая химия,5,760.31,1.58
DOC48354Z846,Шампунь,Бытовая химия,5,629.85,35.84
DOC55425A896,Сковорода,Посуда,10,965.71,114.19
DOC55425A896,Наволочка,Текстиль,2,904.95,166.73
DOC55425A896,Шампунь,Бытовая химия,6,766.87,80.94
DOC55425A896,Порошок стиральный,Бытовая химия,3,19.23,2.89
DOC55425A896,Джинсы,Одежда,10,230.23,58.66
DOC27440W961,Полотенце,Текстиль,10,856.87,32.84
DOC27440W961,Тарелка,Посуда,4,51.06,9.78
DOC74910Z697,Мыло,Бытовая химия,4,520.56,27.1
DOC74910Z697,Полотенце,Текстиль,9,741.68,194.23
DOC74910Z697,Мыло,Бытовая химия,4,548.69,48.61
DOC74910Z697,Вилка,Посуда,5,561.82,122.72
DOC98159V165,Ложка,Посуда,7,789.2,29.43
DOC98159V165,Тарелка,Посуда,5,308.21,89.92
DOC98159V165,Кастрюля,Посуда,8,31.02,2.43
DOC98159V165,Ложка,Посуда,3,294.58,53.86
DOC43393M902,Футболка,Одежда,6,38.33,3.4
DOC43393M902,Наволочка,Текстиль,2,279.6,64.86
DOC15592X456,Шампунь,Бытовая химия,5,225.16,32.93
DOC31659U583,Ложка,Посуда,3,400.22,63.27
DOC31659U583,Средство для мытья посуды,Бытовая химия,10,988.76,32.56
DOC31659U583,Кастрюля,Посуда,7,199.09,14.11
DOC31659U583,Нож,Посуда,5,90.26,11.81
DOC31659U583,Тарелка,Посуда,2,33.22,4.96
DOC23749C735,Средство для мытья посуды,Бытовая химия,6,388.94,68.67
DOC23749C735,Мыло,Бытовая химия,4,32.11,2.08
DOC23749C735,Нож,Посуда,1,179.96,49.57
DOC70998R470,Полотенце,Текстиль,3,561.51,114.53
DOC70998R470,Тарелка,Посуда,6,430.75,83.75
DOC70998R470,Джинсы,Одежда,3,712.33,160.05
DOC70998R470,Футболка,Одежда,10,921.41,131.63
DOC13558G623,Кастрюля,Посуда,7,728.24,195.2
DOC13558G623,Полотенце,Текстиль,9,485.86,85.57
DOC13558G623,Чашка,Посуда,1,139.25,2.88
DOC13558G623,Полотенце,Текстиль,7,717.06,142.55
DOC13558G623,Сковорода,Посуда,1,912.43,42.81
DOC28351D863,Чашка,Посуда,9,819.31,4.9
DOC28351D863,Вилка,Посуда,5,893.46,146.87
DOC86528D455,Простыня,Текстиль,6,323.24,1.84
DOC86528D455,Нож,Посуда,7,472.53,2.17
DOC92948E652,Мыло,Бытовая химия,4,973.33,125.41
DOC92948E652,Тарелка,Посуда,6,730.48,108.87
DOC92948E652,Тарелка,Посуда,10,606.27,13.25
DOC92948E652,Полотенце,Текстиль,8,643.86,95.71
DOC24990V741,Куртка,Одежда,5,884.46,156.46
DOC69991I886,Вилка,Посуда,10,490.22,137.96
DOC37810D353,Чашка,Посуда,7,401.12,99.89
DOC53057A484,Нож,Посуда,9,976.96,76.58
DOC31122A216,Сковорода,Посуда,2,115.46,28.91
DOC31122A216,Средство для мытья посуды,Бытовая химия,7,471.49,8.07
DOC31122A216,Порошок стиральный,Бытовая химия,6,311.9,65.48
DOC31122A216,Сковорода,Посуда,4,586.42,162.89
DOC36424F467,Вилка,Посуда,4,806.2,22.22
DOC36424F467,Средство для мытья посуды,Бытовая химия,8,928.61,197.82
DOC36424F467,Куртка,Одежда,8,770.11,69.46
DOC36424F467,Чашка,Посуда,3,254.8,50.58
